"","ntype","x","y","z"
"ADAL","inter",0.04834925,1.5375e-05,0.005283875
"ADAR","inter",0.04675025,-0.000732875,-0.0059655
"ADEL","modulatory",0.045084625,-6.15e-05,0.00538125
"ADER","modulatory",0.042655375,-0.00029725,-0.005878375
"ADFL","sensory",0.02776725,0.004346,0.0035875
"ADFR","sensory",0.027997875,0.003664375,-0.004551
"ADLL","sensory",0.030304125,0.006175625,0.00197825
"ADLR","sensory",0.030135,0.00583225,-0.00324925
"AFDL","sensory",0.027352125,0.003069875,0.003838625
"AFDR","sensory",0.027218875,0.002926375,-0.004709875
"AIAL","inter",0.03420425,-0.002393375,0.00033825
"AIAR","inter",0.034506625,-0.002424125,-0.000507375
"AIBL","inter",0.028438625,0.001296625,0.003049375
"AIBR","inter",0.02866925,0.001337625,-0.003397875
"AIML","modulatory",0.040646375,-0.003469625,0.001470875
"AIMR","modulatory",0.036177375,-0.002567625,-0.0017835
"AINL","inter",0.03496275,0.00339275,0.004966125
"AINR","inter",0.03453225,0.003592625,-0.0055555
"AIYL","inter",0.03660275,-0.002255,0.00273675
"AIYR","inter",0.030457875,-0.000763625,-0.000574
"AIZL","inter",0.0353215,0.001296625,0.00408975
"AIZR","inter",0.034598875,0.0008815,-0.0044485
"ALA","modulatory",0.02627075,0.007872,-0.001107
"ALML","sensory",0.172963625,0.006042375,-0.00607825
"ALMR","sensory",0.160556,0.010244875,0.005581125
"ASEL","sensory",0.03141625,0.002782875,0.004392125
"ASER","sensory",0.03123175,0.00277775,-0.005314625
"ASGL","sensory",0.03073975,0.00443825,0.003592625
"ASGR","sensory",0.030826875,0.0041,-0.00421275
"ASHL","sensory",0.02994025,0.002157625,0.004279375
"ASHR","sensory",0.029637875,0.001952625,-0.0052275
"ASIL","sensory",0.03246175,0.00519675,0.0029725
"ASIR","sensory",0.03250275,0.0049815,-0.0036695
"ASJL","sensory",0.03283075,-1.025e-05,0.0028905
"ASJR","sensory",0.032805125,-0.0005535,-0.003069875
"ASKL","sensory",0.028049125,0.00615,0.0022755
"ASKR","sensory",0.027895375,0.00572975,-0.003239
"AUAL","sensory",0.031216375,0.0004305,0.0042845
"AUAR","sensory",0.0311395,0.00011275,-0.004935375
"AVHL","modulatory",0.0321235,0.004945625,0.004023125
