"","ntype","x","y","z"
"ADAL","inter",0.13561375,4.3125e-05,0.014820625
"ADAR","inter",0.13112875,-0.002055625,-0.0167325
"ADEL","modulatory",0.126456875,-0.0001725,0.01509375
"ADER","modulatory",0.119643125,-0.00083375,-0.016488125
"ADFL","sensory",0.07788375,0.01219,0.0100625
"ADFR","sensory",0.078530625,0.010278125,-0.012765
"ADLL","sensory",0.084999375,0.017321875,0.00554875
"ADLR","sensory",0.084525,0.01635875,-0.00911375
"AFDL","sensory",0.076719375,0.008610625,0.010766875
"AFDR","sensory",0.076345625,0.008208125,-0.013210625
"AIAL","inter",0.09593875,-0.006713125,0.00094875
"AIAR","inter",0.096786875,-0.006799375,-0.001423125
"AIBL","inter",0.079766875,0.003636875,0.008553125
"AIBR","inter",0.08041375,0.003751875,-0.009530625
"AIML","modulatory",0.114008125,-0.009731875,0.004125625
"AIMR","modulatory",0.101473125,-0.007201875,-0.0050025
"AINL","inter",0.09806625,0.00951625,0.013929375
"AINR","inter",0.09685875,0.010076875,-0.0155825
"AIYL","inter",0.10266625,-0.006325,0.00767625
"AIYR","inter",0.085430625,-0.002141875,-0.00161
"AIZL","inter",0.0990725,0.003636875,0.01147125
"AIZR","inter",0.097045625,0.0024725,-0.0124775
"ALA","modulatory",0.07368625,0.02208,-0.003105
"ALML","sensory",0.485141875,0.016948125,-0.01704875
"ALMR","sensory",0.45034,0.028735625,0.015654375
"ALNL","sensory",1.1275175,0.017379375,0.005045625
"ALNR","sensory",1.1307375,0.017465625,-0.00575
"AQR","sensory",0.125910625,-0.0051175,-0.015309375
"ASEL","sensory",0.08811875,0.007805625,0.012319375
"ASER","sensory",0.08760125,0.00779125,-0.014906875
"ASGL","sensory",0.08622125,0.01244875,0.010076875
"ASGR","sensory",0.086465625,0.0115,-0.01181625
"ASHL","sensory",0.08397875,0.006051875,0.012003125
"ASHR","sensory",0.083130625,0.005476875,-0.0146625
"ASIL","sensory",0.09105125,0.01457625,0.0083375
"ASIR","sensory",0.09116625,0.0139725,-0.0102925
"ASJL","sensory",0.09208625,-2.875e-05,0.0081075
"ASJR","sensory",0.092014375,-0.0015525,-0.008610625
"ASKL","sensory",0.078674375,0.01725,0.0063825
"ASKR","sensory",0.078243125,0.01607125,-0.009085
"AUAL","sensory",0.087558125,0.0012075,0.0120175
"AUAR","sensory",0.0873425,0.00031625,-0.013843125
"AVFL","modulatory",0.135656875,-0.0112125,0.005016875
"AVFR","modulatory",0.13733875,-0.012348125,0.000704375
"AVHL","modulatory",0.0901025,0.013871875,0.011284375
"AVHR","modulatory",0.09030375,0.01288,-0.014044375
"AVJL","inter",0.0935525,0.010249375,0.012175625
"AVJR","inter",0.093624375,0.010853125,-0.013785625
"AVKL","modulatory",0.125623125,-0.00853875,0.00549125
"AVKR","modulatory",0.10879,-0.0081075,-0.004556875
"AVL","modulatory",0.10180375,-0.007000625,0.000531875
"AVM","sensory",0.4116425,-0.0016675,0.014605
"AWAL","sensory",0.08277125,0.009444375,0.008409375
"AWAR","sensory",0.0822825,0.009386875,-0.011456875
"AWBL","sensory",0.082455,0.01193125,0.0122475
"AWBR","sensory",0.0825125,0.01164375,-0.014734375
"AWCL","sensory",0.08024125,0.0043125,0.012980625
"AWCR","sensory",0.081118125,0.00250125,-0.013670625
"BAGL","sensory",0.055616875,0.008179375,0.01227625
"BAGR","sensory",0.056680625,0.00583625,-0.011845
"BDUL","inter",0.267705625,0.0109825,-0.014561875
"BDUR","inter",0.266411875,0.016545625,0.011313125
"CEPDL","modulatory",0.07127125,0.01957875,0.00531875
"CEPDR","modulatory",0.0722775,0.01854375,-0.010163125
"CEPVL","modulatory",0.05655125,0.001480625,0.00658375
"CEPVR","modulatory",0.0584775,0.001451875,-0.00635375
"DVA","sensory",1.1080825,0.015755,-0.002314375
"DVC","modulatory",1.11098625,0.017034375,0.002228125
"FLPL","sensory",0.116595625,2.875e-05,0.01520875
"FLPR","sensory",0.1076975,0.000330625,-0.01633
"HSNL","modulatory",0.664886875,-0.00255875,-0.014101875
"HSNR","modulatory",0.649764375,-0.004786875,0.01515125
"IL1DL","motor",0.047020625,0.01886,0.00313375
"IL1DR","motor",0.0487025,0.01756625,-0.006598125
"IL1L","motor",0.043815,0.010393125,0.01003375
"IL1R","motor",0.044519375,0.0081075,-0.010005
"IL1VL","motor",0.04160125,0.0023575,0.0053475
"IL1VR","motor",0.0426075,0.00138,-0.0024725
"IL2DL","sensory",0.034801875,0.01773875,0.00623875
"IL2DR","sensory",0.037993125,0.017896875,-0.0096025
"IL2L","sensory",0.04298125,0.011399375,0.013153125
"IL2R","sensory",0.043355,0.009501875,-0.01265
"IL2VL","sensory",0.036440625,0.00307625,0.00727375
"IL2VR","sensory",0.0407675,0.000905625,-0.00598
"OLLL","sensory",0.04505125,0.014446875,0.00871125
"OLLR","sensory",0.046805,0.012348125,-0.010364375
"OLQDL","sensory",0.053978125,0.02044125,0.003105
"OLQDR","sensory",0.05563125,0.019248125,-0.008093125
