"","ntype","x","y","z"
"ADAL","inter",0.06721725,2.1375e-05,0.007345875
"ADAR","inter",0.06499425,-0.001018875,-0.0082935
"ADEL","modulatory",0.062678625,-8.55e-05,0.00748125
"ADER","modulatory",0.059301375,-0.00041325,-0.008172375
"ADFL","sensory",0.03860325,0.006042,0.0049875
"ADFR","sensory",0.038923875,0.005094375,-0.006327
"ADLL","sensory",0.042130125,0.008585625,0.00275025
"ADLR","sensory",0.041895,0.00810825,-0.00451725
"AFDL","sensory",0.038026125,0.004267875,0.005336625
"AFDR","sensory",0.037840875,0.004068375,-0.006547875
"AIAL","inter",0.04755225,-0.003327375,0.00047025
"AIAR","inter",0.047972625,-0.003370125,-0.000705375
"AIBL","inter",0.039536625,0.001802625,0.004239375
"AIBR","inter",0.03985725,0.001859625,-0.004723875
"AIML","modulatory",0.056508375,-0.004823625,0.002044875
"AIMR","modulatory",0.050295375,-0.003569625,-0.0024795
"AINL","inter",0.04860675,0.00471675,0.006904125
"AINR","inter",0.04800825,0.004994625,-0.0077235
"AIYL","inter",0.05088675,-0.003135,0.00380475
"AIYR","inter",0.042343875,-0.001061625,-0.000798
"AIZL","inter",0.0491055,0.001802625,0.00568575
"AIZR","inter",0.048100875,0.0012255,-0.0061845
"ALA","modulatory",0.03652275,0.010944,-0.001539
"ALML","sensory",0.240461625,0.008400375,-0.00845025
"ALMR","sensory",0.223212,0.014242875,0.007759125
"AQR","sensory",0.062407875,-0.0025365,-0.007588125
"ASEL","sensory",0.04367625,0.003868875,0.006106125
"ASER","sensory",0.04341975,0.00386175,-0.007388625
"ASGL","sensory",0.04273575,0.00617025,0.004994625
"ASGR","sensory",0.042856875,0.0057,-0.00585675
"ASHL","sensory",0.04162425,0.002999625,0.005949375
"ASHR","sensory",0.041203875,0.002714625,-0.0072675
"ASIL","sensory",0.04512975,0.00722475,0.0041325
"ASIR","sensory",0.04518675,0.0069255,-0.0051015
"ASJL","sensory",0.04564275,-1.425e-05,0.0040185
"ASJR","sensory",0.045607125,-0.0007695,-0.004267875
"ASKL","sensory",0.038995125,0.00855,0.0031635
"ASKR","sensory",0.038781375,0.00796575,-0.004503
"AUAL","sensory",0.043398375,0.0005985,0.0059565
"AUAR","sensory",0.0432915,0.00015675,-0.006861375
"AVHL","modulatory",0.0446595,0.006875625,0.005593125
"AVHR","modulatory",0.04475925,0.006384,-0.006961125
"AVJL","inter",0.0463695,0.005080125,0.006034875
"AVJR","inter",0.046405125,0.005379375,-0.006832875
"AVKL","modulatory",0.062265375,-0.00423225,0.00272175
"AVKR","modulatory",0.053922,-0.0040185,-0.002258625
