pre	post	type	synapses
ADAL	ADAR	electrical	1
ADAL	AIBR	chemical	1
ADAL	ASHL	electrical	9
ADAL	ASKL	electrical	1
ADAL	AVAL	chemical	1
ADAL	AVAR	chemical	1
ADAL	AVBL	chemical	3
ADAL	AVDR	chemical	1
ADAL	AVDR	electrical	1
ADAL	AVJR	chemical	3
ADAL	RICR	chemical	1
ADAL	RIML	chemical	1
ADAR	AIBL	chemical	1
ADAR	ASHR	electrical	6
ADAR	AVAL	chemical	1
ADAR	AVBL	chemical	1
ADAR	AVBR	chemical	1
ADAR	AVDL	chemical	1
ADAR	RICL	chemical	1
ADAR	RICR	electrical	1
ADAR	RIMR	chemical	1
ADEL	ADAL	chemical	1
ADEL	AVAR	chemical	2
ADEL	AVDR	chemical	1
ADEL	FLPR	chemical	1
ADER	AVKR	electrical	1
ADER	PVCR	chemical	1
ADER	RIGL	chemical	1
ADER	RIGR	chemical	1
ADFL	ADFR	electrical	2
ADFL	AIYL	chemical	1
ADFL	AIZL	chemical	3
ADFL	ASER	chemical	1
ADFL	AUAL	chemical	2
ADFL	AVHR	chemical	1
ADFL	RIAL	chemical	2
ADFR	AIAR	chemical	1
ADFR	AIAR	electrical	1
ADFR	AIYR	electrical	1
ADFR	AIZR	chemical	7
ADFR	ASER	chemical	1
ADFR	AUAR	chemical	2
ADFR	RIAR	chemical	2
ADFR	URXR	chemical	1
ADLL	ADLR	electrical	1
ADLL	AIAL	chemical	1
ADLL	AIBL	chemical	2
ADLL	ASKL	chemical	5
ADLL	AWCL	chemical	2
ADLL	PVQL	chemical	1
ADLL	RMGL	electrical	1
ADLR	ADAR	chemical	1
ADLR	AIAR	chemical	3
ADLR	AIBR	chemical	3
ADLR	ASER	chemical	1
ADLR	ASKR	chemical	3
ADLR	AWCR	chemical	1
ADLR	CEPshVR	chemical	1
AFDL	ADFL	chemical	1
AFDL	AFDR	electrical	1
AFDL	AIYL	chemical	3
AFDL	AIZL	electrical	1
AFDR	AIYR	chemical	3
AFDR	AIZR	electrical	1
AIAL	AIAR	electrical	1
AIAL	AIBL	chemical	3
AIAL	ASER	chemical	1
AIAL	ASIL	electrical	1
AIAL	ASKL	chemical	2
AIAL	AWBL	chemical	1
AIAL	AWBL	electrical	2
AIAL	AWCR	chemical	1
AIAL	RIFL	chemical	1
AIAR	AIBR	chemical	2
AIAR	ASHR	chemical	1
AIAR	ASJR	electrical	1
AIAR	ASKR	chemical	2
AIAR	AWBR	electrical	1
AIAR	RIFR	chemical	1
AIBL	AVBL	chemical	4
AIBL	AVEL	chemical	1
AIBL	AVER	chemical	1
AIBL	DVC	electrical	1
AIBL	RIBR	chemical	3
AIBL	RIMR	chemical	7
AIBL	SMDDR	chemical	2
AIBL	SMDVR	chemical	1
AIBR	AVBR	chemical	1
AIBR	AVEL	chemical	1
AIBR	AVER	chemical	1
AIBR	DVC	electrical	1
AIBR	RIBL	chemical	2
AIBR	RIML	chemical	5
AIBR	SAADR	chemical	1
AIBR	SIADL	chemical	1
AIBR	SMDDL	chemical	2
AIBR	SMDVL	chemical	1
