pre	post	type	synapses
ADAL	ADFL	electrical	1
ADAL	ASHL	chemical	1
ADAL	ASHL	electrical	3
ADAL	ASKL	electrical	1
ADAL	AVAL	chemical	1
ADAL	AVBL	chemical	8
ADAL	AVBR	chemical	3
ADAL	AVDL	electrical	2
ADAL	AVDR	electrical	2
ADAL	AVEL	chemical	1
ADAL	AVJR	chemical	4
ADAL	IL2DL	chemical	1
ADAL	OLQVL	chemical	1
ADAL	PVQL	electrical	1
ADAL	RIAL	chemical	1
ADAL	RIML	chemical	5
ADAL	RIPL	chemical	4
ADAL	SIBVL	chemical	1
ADAR	ADFR	electrical	1
ADAR	AIAR	chemical	1
ADAR	AIBL	chemical	1
ADAR	AIBR	chemical	1
ADAR	ASHR	chemical	1
ADAR	ASHR	electrical	2
ADAR	ASKR	electrical	1
ADAR	AVAL	chemical	1
ADAR	AVBL	chemical	2
ADAR	AVBR	chemical	8
ADAR	AVDL	electrical	3
ADAR	AVDR	electrical	1
ADAR	AVER	chemical	1
ADAR	AVJL	chemical	3
ADAR	OLQVR	chemical	1
ADAR	PVQR	electrical	1
ADAR	RICL	chemical	1
ADAR	RICR	chemical	3
ADAR	RIMR	chemical	5
ADAR	URAVR	chemical	1
ADEL	ADER	chemical	1
ADEL	AVAR	chemical	2
ADEL	CEPshVL	chemical	2
ADEL	CEPVL	chemical	1
ADEL	PVCL	chemical	1
ADEL	RIGL	chemical	3
ADEL	RIGR	chemical	2
ADEL	SDQL	chemical	2
ADEL	SMBDR	chemical	1
ADEL	URBL	chemical	1
ADER	ADAR	chemical	1
ADER	ADEL	chemical	1
ADER	AVAL	chemical	1
ADER	AVAR	chemical	1
ADER	AVDR	chemical	1
ADER	AVER	chemical	1
ADER	AVKL	chemical	1
ADER	CEPshDR	chemical	1
ADER	CEPshVL	chemical	1
ADER	CEPshVR	chemical	1
ADER	CEPVR	chemical	1
ADER	FLPR	chemical	2
ADER	IL1R	chemical	1
ADER	PVR	chemical	1
ADER	RIGL	chemical	2
ADER	RIGR	chemical	1
ADER	RMHR	electrical	1
ADER	SDQR	chemical	1
ADFL	ADFR	electrical	1
ADFL	AIAL	electrical	1
ADFL	AIBL	chemical	1
ADFL	AIZL	chemical	6
ADFL	AIZR	chemical	1
ADFL	ASER	chemical	1
ADFL	ASHL	chemical	1
ADFL	AUAL	chemical	3
ADFL	AUAR	chemical	1
ADFL	RIAL	chemical	8
ADFL	RIGL	chemical	1
ADFL	RIH	electrical	1
ADFL	RIR	chemical	3
ADFL	SIBVL	chemical	1
ADFL	SMBDL	chemical	1
ADFR	AFDR	chemical	1
ADFR	AIAR	electrical	2
ADFR	AIYR	chemical	1
ADFR	AIZR	chemical	10
ADFR	AUAR	chemical	4
ADFR	AVHL	chemical	1
ADFR	DVA	chemical	1
ADFR	OLQVR	chemical	1
ADFR	RIAR	chemical	12
ADFR	RIGR	chemical	3
ADFR	RIH	electrical	1
ADFR	RIR	chemical	1
ADFR	SMBDR	chemical	3
ADFR	SMBVR	chemical	7
ADLL	ADAL	chemical	2
ADLL	ADLR	electrical	1
ADLL	AIAL	chemical	3
ADLL	AIBL	chemical	5
ADLL	ASEL	chemical	1
ADLL	ASHL	chemical	3
ADLL	ASKL	chemical	4
ADLL	AVAL	chemical	2
ADLL	AVDL	chemical	1
ADLL	AVDR	chemical	8
ADLL	AVJL	chemical	2
ADLL	AVJR	chemical	3
