pre	post	type	synapses
ADAL	ADAR	electrical	1
ADAL	AIBR	chemical	1
ADAL	AIZL	chemical	1
ADAL	ASHL	electrical	1
ADAL	ASKL	electrical	1
ADAL	AVAL	chemical	1
ADAL	AVBL	chemical	3
ADAL	AVBR	chemical	2
ADAL	AVDL	electrical	1
ADAL	AVDR	chemical	2
ADAL	AVDR	electrical	1
ADAL	AVJR	chemical	2
ADAL	RIML	chemical	3
ADAL	RIPL	chemical	1
ADAL	SAAVL	chemical	1
ADAR	ALMR	electrical	1
ADAR	ASHR	electrical	2
ADAR	ASKR	electrical	1
ADAR	AVBL	chemical	1
ADAR	AVBR	chemical	4
ADAR	AVDL	electrical	1
ADAR	AVDR	electrical	2
ADAR	AVEL	chemical	1
ADAR	AVJL	chemical	3
ADAR	DVA	chemical	1
ADAR	OLQVR	chemical	1
ADAR	PVQR	electrical	1
ADAR	RICL	chemical	1
ADAR	RICR	chemical	1
ADAR	RIMR	chemical	2
ADAR	RIPR	chemical	3
ADAR	URADR	chemical	1
ADEL	AVAR	chemical	2
ADEL	AVDR	chemical	1
ADEL	AVKL	chemical	1
ADEL	AVKR	electrical	2
ADEL	RIFL	chemical	1
ADEL	RIGL	chemical	2
ADEL	RIS	chemical	1
ADEL	SAADL	chemical	1
ADEL	SMDVR	chemical	1
ADER	AQR	chemical	2
ADER	AVAL	chemical	2
ADER	RIGR	chemical	2
ADFL	ADAL	chemical	2
ADFL	ADFR	chemical	1
ADFL	ADFR	electrical	1
ADFL	AFDL	chemical	1
ADFL	AIAL	electrical	2
ADFL	AIZL	chemical	6
ADFL	AIZR	chemical	1
ADFL	ASHL	chemical	1
ADFL	AUAL	chemical	3
ADFL	RIAL	chemical	8
ADFL	RIMR	chemical	1
ADFL	SMBVL	chemical	4
ADFR	ADFL	chemical	1
ADFR	AFDR	chemical	1
ADFR	AIAR	chemical	1
ADFR	AIAR	electrical	1
ADFR	AIZR	chemical	5
ADFR	AUAR	chemical	1
ADFR	RIAR	chemical	7
ADFR	RIGR	chemical	1
ADFR	RIH	electrical	1
ADFR	RIR	chemical	2
ADFR	SMBVR	chemical	1
ADFR	URXR	chemical	1
ADLL	ADAL	chemical	3
ADLL	ADLR	electrical	1
ADLL	AIAL	chemical	6
ADLL	AIBL	chemical	4
ADLL	ASHL	chemical	1
ADLL	ASJL	chemical	1
ADLL	ASKL	chemical	6
ADLL	AVAL	chemical	3
ADLL	AVDL	chemical	2
ADLL	AVDR	chemical	2
ADLL	AVJL	chemical	1
ADLL	AWCL	chemical	2
ADLL	OLLL	chemical	1
ADLL	RMGL	electrical	1
ADLR	ADAR	chemical	1
ADLR	AIAR	chemical	4
ADLR	AIBR	chemical	5
ADLR	ASHR	chemical	3
ADLR	ASKR	chemical	3
ADLR	AVAR	chemical	4
ADLR	AVDR	chemical	1
ADLR	AVJR	chemical	1
ADLR	AWCR	chemical	2
ADLR	SIBDL	chemical	1
AFDL	AFDR	electrical	1
AFDL	AIYL	chemical	6
AFDL	AIZL	chemical	1
AFDL	AIZL	electrical	1
AFDL	BAGR	chemical	2
