pre	post	type	synapses
ADAL	ADAR	electrical	1
ADAL	ADFL	electrical	1
ADAL	ASHL	electrical	1
ADAL	ASKL	electrical	1
ADAL	AVAL	chemical	1
ADAL	AVAR	chemical	2
ADAL	AVBL	chemical	3
ADAL	AVBR	chemical	1
ADAL	AVDL	electrical	1
ADAL	AVDR	electrical	2
ADAL	AVHR	chemical	1
ADAL	AVJR	chemical	2
ADAL	RICR	chemical	1
ADAL	RIML	chemical	2
ADAR	ADFR	electrical	1
ADAR	ASHR	electrical	1
ADAR	AVAL	chemical	1
ADAR	AVAR	chemical	1
ADAR	AVBL	chemical	2
ADAR	AVBR	chemical	3
ADAR	AVDL	electrical	3
ADAR	AVDR	electrical	1
ADAR	AVJL	chemical	2
ADAR	RICL	chemical	1
ADAR	RIMR	chemical	3
ADAR	RIPR	chemical	1
ADEL	ADER	chemical	1
ADEL	AVAR	chemical	1
ADEL	FLPL	chemical	1
ADEL	RIGR	chemical	1
ADEL	SAADR	chemical	1
ADER	ADAR	chemical	1
ADER	ADEL	chemical	1
ADER	AVAL	chemical	1
ADER	AVAR	chemical	1
ADFL	ADFR	electrical	1
ADFL	AIAL	electrical	1
ADFL	AIBR	electrical	1
ADFL	AIYL	chemical	1
ADFL	AIZL	chemical	4
ADFL	AIZR	chemical	1
ADFL	ASHL	chemical	1
ADFL	AUAL	chemical	3
ADFL	AWBL	chemical	1
ADFL	RIAL	chemical	6
ADFL	RIH	electrical	1
ADFL	SMBDL	chemical	1
ADFL	SMBVL	chemical	2
ADFL	URXL	chemical	1
ADFR	AIAR	chemical	1
ADFR	AIAR	electrical	1
ADFR	AIZR	chemical	5
ADFR	ASEL	chemical	1
ADFR	AWAR	chemical	1
ADFR	RIAR	chemical	2
ADFR	SMBVR	chemical	1
ADLL	ADAL	chemical	2
ADLL	ADLR	electrical	1
ADLL	AIAL	chemical	4
ADLL	AIBL	chemical	4
ADLL	ASEL	chemical	3
ADLL	ASKL	chemical	2
ADLL	AVDL	chemical	1
ADLL	AVDR	chemical	2
ADLL	AVJR	chemical	1
ADLL	AWCL	chemical	4
ADLL	AWCR	chemical	1
ADLL	RMGL	electrical	1
ADLL	SIADR	chemical	1
ADLL	SIBDR	chemical	1
ADLR	ADAR	chemical	1
ADLR	AIAR	chemical	3
ADLR	AIBR	chemical	4
ADLR	ASER	chemical	1
ADLR	ASHR	chemical	1
ADLR	ASKR	chemical	4
ADLR	AVDR	chemical	1
ADLR	AVJR	chemical	1
ADLR	RMGR	electrical	1
AFDL	AIYL	chemical	2
AFDL	AIYR	chemical	1
AFDL	AIZL	electrical	1
AFDR	AIBR	chemical	1
AFDR	AIYL	chemical	1
AFDR	AIYR	chemical	4
AFDR	ASER	chemical	1
AFDR	AWCL	chemical	1
AIAL	ADAL	chemical	3
AIAL	AIBL	chemical	8
AIAL	ASGL	chemical	1
AIAL	ASHL	chemical	1
AIAL	ASIL	electrical	2
AIAL	ASJL	electrical	1
AIAL	ASKL	chemical	3
AIAL	AWAL	electrical	1
AIAL	AWCL	chemical	3
AIAL	AWCR	chemical	2
AIAL	PVQL	chemical	1
AIAL	RIFL	chemical	2
AIAR	ADAR	chemical	1
AIAR	AIBR	chemical	6
AIAR	AINL	electrical	1
AIAR	ASHR	chemical	1
AIAR	ASJR	electrical	1
AIAR	ASKR	chemical	3
AIAR	AWCL	chemical	2
AIAR	RIFR	chemical	2
AIBL	AIBR	electrical	1
AIBL	ASGL	electrical	1
AIBL	AVBL	chemical	3
AIBL	RIBL	chemical	1
AIBL	RIBR	chemical	4
AIBL	RIGR	electrical	1
AIBL	RIML	chemical	1
AIBL	RIMR	chemical	8
AIBL	RIMR	electrical	1
AIBL	RIVL	electrical	1
AIBL	SMDDR	chemical	3
AIBL	SMDVR	chemical	3
AIBR	AVBR	chemical	5
AIBR	AVER	chemical	1
AIBR	DVC	electrical	2
AIBR	FLPR	electrical	1
AIBR	RIBL	chemical	1
AIBR	RIGL	chemical	1
AIBR	RIML	chemical	10
AIBR	RIVR	electrical	1
AIBR	SAADR	chemical	2
AIBR	SMDDL	chemical	3
AIBR	SMDVL	chemical	1
AIML	AIAL	chemical	5
AIML	AIMR	electrical	1
AIML	ASGL	chemical	3
AIML	ASHL	chemical	1
AIML	PVQL	chemical	1
AIMR	AIAR	chemical	4
AIMR	ASGR	chemical	2
AIMR	ASGR	electrical	1
AIMR	ASKR	chemical	1
AINL	AFDR	chemical	4
AINL	ASEL	chemical	1
AINL	AUAR	chemical	3
AINL	RIBR	chemical	1
AINR	AFDL	chemical	4
AINR	ASER	chemical	3
AINR	AUAL	chemical	1
AINR	BAGR	chemical	4
AINR	CEPshVL	chemical	2
AINR	RID	chemical	1
AIYL	ADFL	chemical	2
AIYL	AIZL	chemical	6
AIYL	AIZR	chemical	1
AIYL	ASEL	chemical	1
AIYL	ASGL	electrical	1
AIYL	AWBL	chemical	1
AIYL	RIAL	chemical	2
AIYL	RIBL	chemical	2
AIYR	AIZR	chemical	5
AIYR	AWBR	chemical	1
AIYR	BAGL	chemical	1
AIYR	RIAR	chemical	3
AIYR	RIBR	chemical	4
AIZL	AIAL	chemical	2
AIZL	AIBL	chemical	1
AIZL	AIBR	chemical	4
AIZL	AIZR	electrical	1
AIZL	ASHL	electrical	3
AIZL	ASHR	electrical	1
AIZL	AVER	chemical	1
AIZL	AVER	electrical	1
AIZL	RIAL	chemical	2
AIZL	RIAR	chemical	1
AIZL	RIBL	chemical	1
AIZL	RIML	chemical	4
AIZL	SMBDL	chemical	4
AIZL	SMBVL	chemical	2
AIZL	SMBVR	chemical	1
AIZR	AIBL	chemical	6
AIZR	ASHR	electrical	3
AIZR	AVEL	chemical	2
AIZR	AVER	chemical	1
AIZR	BAGL	electrical	1
AIZR	RIAR	chemical	1
AIZR	RIMR	chemical	4
AIZR	SMBDR	chemical	2
AIZR	SMBVR	chemical	2
ALA	AVEL	chemical	2
ALA	AVER	chemical	1
ALA	CEPshVL	chemical	2
ALA	CEPshVR	chemical	1
ALML	BDUL	chemical	2
ALML	CEPVL	chemical	2
ALML	PVCL	electrical	1
ALML	PVR	chemical	1
ALML	URBL	chemical	1
ALMR	BDUR	chemical	2
ALMR	CEPDR	chemical	1
ALMR	CEPVR	chemical	1
ALMR	PVCR	electrical	1
ALMR	PVR	chemical	1
ASEL	AFDR	chemical	1
ASEL	AIBL	chemical	6
ASEL	AIBR	chemical	1
ASEL	AIYL	chemical	6
ASEL	AIYR	chemical	2
ASEL	AWCL	chemical	2
ASEL	BAGL	chemical	1
ASER	ADLR	chemical	1
ASER	AIBL	chemical	4
ASER	AIBR	chemical	7
ASER	AIYL	chemical	3
ASER	AIYR	chemical	7
ASER	AWAR	chemical	1
ASER	AWCL	chemical	1
ASER	AWCR	chemical	1
ASER	BAGR	chemical	1
ASGL	AIAL	chemical	6
ASGL	AIBL	chemical	1
ASGL	AIML	chemical	1
ASGL	AWCL	chemical	1
ASGR	AIAR	chemical	3
ASGR	AIMR	chemical	2
ASGR	AWCR	chemical	1
ASHL	ADAL	chemical	2
ASHL	ADFL	chemical	2
ASHL	AIAL	chemical	4
ASHL	AIBL	chemical	3
ASHL	ALML	chemical	1
ASHL	ASKL	chemical	2
ASHL	AVAL	chemical	1
ASHL	AVDL	chemical	1
ASHL	AVDR	chemical	1
ASHL	AWAL	chemical	1
ASHL	RIAL	chemical	2
ASHL	RMGL	electrical	1
ASHL	SIBVL	chemical	1
ASHL	SMBDL	chemical	1
ASHR	ADAR	chemical	1
ASHR	AIAR	chemical	3
ASHR	AIBR	chemical	3
ASHR	ASER	chemical	1
ASHR	AVAR	chemical	3
ASHR	AVBR	chemical	4
ASHR	AVDL	chemical	3
ASHR	AVDR	chemical	1
ASHR	AVJL	chemical	1
ASHR	AVJR	chemical	1
ASHR	AWAR	chemical	1
ASHR	RIAR	chemical	1
ASHR	RIMR	chemical	1
ASHR	RMGR	electrical	1
ASIL	AIAL	chemical	1
ASIL	AWCL	chemical	2
ASIR	AIAR	chemical	1
ASIR	ASER	chemical	1
ASIR	ASGR	chemical	1
ASIR	AWCL	chemical	2
ASIR	CEPshVR	chemical	2
ASJL	ASKL	chemical	3
ASJL	AWAL	chemical	1
ASJL	PVQL	chemical	4
ASJR	AIAR	chemical	1
ASJR	AIMR	chemical	1
ASJR	ASKR	chemical	3
ASJR	AWAR	chemical	1
ASJR	CEPshVL	chemical	1
ASJR	CEPshVR	chemical	1
ASJR	PVQR	chemical	6
ASKL	ADAL	chemical	1
ASKL	AIAL	chemical	6
ASKR	AIAR	chemical	6
ASKR	AIMR	chemical	1
AUAL	AVAL	chemical	2
AUAL	AVEL	chemical	2
AUAL	RIAL	chemical	7
AUAL	RIBL	chemical	7
AUAL	URXL	chemical	2
AUAR	AVAR	chemical	2
AUAR	AVER	chemical	4
AUAR	RIAR	chemical	5
AUAR	RIBR	chemical	7
AUAR	URXR	chemical	3
AVBL	DVA	electrical	1
AVBR	RIBL	electrical	1
AVBR	RIBR	electrical	1
AVEL	URYVR	electrical	1
AVER	RIMR	electrical	1
AVER	RMDDL	electrical	1
AVER	URYVL	electrical	1
AVHL	ADFR	chemical	3
AVHL	AFDR	chemical	1
AVHL	AIZR	chemical	1
AVHL	ASHR	chemical	1
AVHL	DVA	chemical	1
AVHL	OLQVR	chemical	1
AVHL	RIR	chemical	2
AVHL	SIBDR	electrical	1
AVHL	URXR	chemical	1
